"Country","Year","Week_number","Gender","Age","All_cause_deaths_number","Excess_deaths_number","Excess_deaths_percent_change_from_average","Baseline_avg_deaths","Calculated_excess_deaths_number","Calculated_excess_deaths_percent_change_from_average","Calculated_excess_deaths_number_1_decimal_place","Calculated_excess_deaths_percent_change_from_average_1_decimal_place","Excess_Deaths_Number_Comparison","Excess_Deaths_Percent_Change_Comparison"
"Australia",2020,39,"Total","45 to 64",387,-25.8,-6.2,412.8,-25.8,-6.25,-25.8,-6.3,TRUE,FALSE
"Australia",2020,53,"Females","0 to 44",57,1.4,2.5,48,9,18.75,9,18.8,FALSE,FALSE
"Australia",2020,53,"Females","45 to 64",171,27.3,19,150,21,14,21,14,FALSE,FALSE
"Australia",2020,53,"Females","65 and over",1219,47.4,4,1174,45,3.83304940374787,45,3.8,FALSE,FALSE
"Australia",2020,53,"Females","Total",1447,76.1,5.6,1372,75,5.466472303207,75,5.5,FALSE,FALSE
"Australia",2020,53,"Males","0 to 44",85,-19.1,-18.3,104,-19,-18.2692307692308,-19,-18.3,FALSE,TRUE
"Australia",2020,53,"Males","45 to 64",233,-14.2,-5.7,243,-10,-4.11522633744856,-10,-4.1,FALSE,FALSE
"Australia",2020,53,"Males","65 and over",1226,82.8,7.2,1113,113,10.1527403414196,113,10.2,FALSE,FALSE
"Australia",2020,53,"Males","Total",1544,49.5,3.3,1460,84,5.75342465753425,84,5.8,FALSE,FALSE
"Australia",2020,53,"Total","0 to 44",142,-17.7,-11.1,152,-10,-6.57894736842105,-10,-6.6,FALSE,FALSE
"Australia",2020,53,"Total","45 to 64",404,13.1,3.4,393,11,2.79898218829517,11,2.8,FALSE,FALSE
"Australia",2020,53,"Total","65 and over",2445,130.2,5.6,2287,158,6.90861390467862,158,6.9,FALSE,FALSE
"Australia",2020,53,"Total","Total",2991,125.6,4.4,2832,159,5.61440677966102,159,5.6,FALSE,FALSE
"Australia",2022,30,"Males","0 to 44",102,6,6.3,96,6,6.25,6,6.2,TRUE,FALSE
"Austria",2020,30,"Females","0 to 44",12,-0.8,-6.2,12.8,-0.800000000000001,-6.25000000000001,-0.8,-6.3,TRUE,FALSE
"Austria",2020,49,"Females","0 to 44",20,7.2,56.3,12.8,7.2,56.25,7.2,56.2,TRUE,FALSE
"Austria",2020,53,"Females","0 to 44",15,-0.8,-5.1,21,-6,-28.5714285714286,-6,-28.6,FALSE,FALSE
"Austria",2020,53,"Females","45 to 64",65,-8,-11,71,-6,-8.45070422535211,-6,-8.5,FALSE,FALSE
"Austria",2020,53,"Females","65 and over",953,104.5,12.3,729,224,30.7270233196159,224,30.7,FALSE,FALSE
"Austria",2020,53,"Females","Total",1033,95.7,10.2,821,212,25.8221680876979,212,25.8,FALSE,FALSE
"Austria",2020,53,"Males","0 to 44",26,2.8,12.1,19,7,36.8421052631579,7,36.8,FALSE,FALSE
"Austria",2020,53,"Males","45 to 64",137,11.2,8.9,120,17,14.1666666666667,17,14.2,FALSE,FALSE
"Austria",2020,53,"Males","65 and over",804,118,17.2,577,227,39.3414211438475,227,39.3,FALSE,FALSE
"Austria",2020,53,"Males","Total",967,132,15.8,716,251,35.0558659217877,251,35.1,FALSE,FALSE
"Austria",2020,53,"Total","0 to 44",41,2,5.1,40,1,2.5,1,2.5,FALSE,FALSE
"Austria",2020,53,"Total","45 to 64",202,3.2,1.6,191,11,5.75916230366492,11,5.8,FALSE,FALSE
"Austria",2020,53,"Total","65 and over",1757,222.5,14.5,1306,451,34.5329249617152,451,34.5,FALSE,FALSE
"Austria",2020,53,"Total","Total",2000,227.7,12.8,1537,463,30.1236174365647,463,30.1,FALSE,FALSE
"Austria",2021,49,"Females","0 to 44",12,-0.8,-6.2,12.8,-0.800000000000001,-6.25000000000001,-0.8,-6.3,TRUE,FALSE
"Belgium",2020,53,"Females","0 to 44",27,4.2,18.4,26,1,3.84615384615385,1,3.8,FALSE,FALSE
"Belgium",2020,53,"Females","45 to 64",97,-0.3,-0.3,106,-9,-8.49056603773585,-9,-8.5,FALSE,FALSE
"Belgium",2020,53,"Females","65 and over",1129,63.1,5.9,926,203,21.9222462203024,203,21.9,FALSE,FALSE
"Belgium",2020,53,"Females","Total",1253,67,5.6,1058,195,18.4310018903592,195,18.4,FALSE,FALSE
"Belgium",2020,53,"Males","0 to 44",31,-11.7,-27.4,42,-11,-26.1904761904762,-11,-26.2,FALSE,FALSE
"Belgium",2020,53,"Males","45 to 64",157,-18.1,-10.3,189,-32,-16.9312169312169,-32,-16.9,FALSE,FALSE
"Belgium",2020,53,"Males","65 and over",1000,88.4,9.7,834,166,19.9040767386091,166,19.9,FALSE,FALSE
"Belgium",2020,53,"Males","Total",1188,58.6,5.2,1065,123,11.5492957746479,123,11.5,FALSE,FALSE
